Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
819200,0,1,28000,30390,12448125600,207,84787200,178,72908800,0,0,0.759773,622406,0.0488266,1.99356,54.2507,409600
819200,1,0,0,30494,12490342400,189,77414400,207,84787200,0,0,0.76235,624517,0.0488281,2.01145,54.6211,409600
819200,2,8,2919200,30766,12602111200,224,91750400,189,77414400,0,0,0.769172,630106,0.0488267,2.05782,55.2935,409600
819200,3,3,848800,30523,12502600800,202,82739200,224,91750400,0,0,0.763098,625130,0.0488266,1.98689,54.0563,409600
819200,4,4,1347200,30683,12568048000,178,72908800,202,82739200,0,0,0.767093,628402,0.048827,2.05367,55.4245,409600
1.6384e+06,0,1,299200,60588,24816955200,485,198656000,371,151961600,0,0,0.757353,1.24085e+06,0.0488279,1.96703,53.6997,409600
1.6384e+06,1,2,719200,61061,25010685600,394,161382400,485,198656000,0,0,0.763266,1.25053e+06,0.0488279,2.02355,54.94,409600
1.6384e+06,2,3,828800,61194,25065462400,394,161382400,394,161382400,0,0,0.764937,1.25327e+06,0.0488273,2.01799,54.6187,409600
1.6384e+06,3,1,226400,60912,24949738400,391,160153600,394,161382400,0,0,0.761406,1.24749e+06,0.0488278,1.99324,54.2611,409600
1.6384e+06,4,0,0,61027,24996659200,371,151961600,391,160153600,0,0,0.762838,1.24983e+06,0.0488281,1.99324,54.0732,409600
2.4576e+06,0,7,2628000,91217,37362722400,703,287948800,626,256409600,0,0,0.760147,1.86814e+06,0.0488278,1.99287,54.2527,409600
2.4576e+06,1,3,1206400,91697,37559113600,603,246988800,703,287948800,0,0,0.764142,1.87796e+06,0.0488281,2.01785,54.7023,409600
2.4576e+06,2,4,1592000,91287,37391201600,617,252723200,603,246988800,0,0,0.760726,1.86956e+06,0.0488281,1.9904,54.166,409600
2.4576e+06,3,2,439200,91183,37348936800,612,250675200,617,252723200,0,0,0.759866,1.86745e+06,0.0488276,1.99272,54.3719,409600
2.4576e+06,4,0,0,91550,37498880000,626,256409600,612,250675200,0,0,0.762917,1.87494e+06,0.0488281,2.01172,54.5187,409600
3.2768e+06,0,1,68800,121876,49920750400,954,390758400,841,344473600,0,0,0.76173,2.49604e+06,0.0488278,1.99609,54.2264,409600
3.2768e+06,1,0,0,122115,50018304000,835,342016000,954,390758400,0,0,0.763219,2.50092e+06,0.0488281,2.00708,54.4891,409600
3.2768e+06,2,1,259200,122221,50061872000,850,348160000,835,342016000,0,0,0.763884,2.50309e+06,0.048828,2.04187,55.3281,409600
3.2768e+06,3,0,0,121818,49896652800,849,347750400,850,348160000,0,0,0.761362,2.49483e+06,0.0488281,2.00772,54.6494,409600
3.2768e+06,4,0,0,121970,49958912000,841,344473600,849,347750400,0,0,0.762312,2.49795e+06,0.0488281,2.01809,54.7479,409600
4.096e+06,0,2,490400,152524,62474159200,1187,486195200,1066,436633600,0,0,0.762624,3.12371e+06,0.0488279,2.00749,54.4903,409600
4.096e+06,1,1,169600,152789,62582614400,1092,447283200,1187,486195200,0,0,0.763948,3.12913e+06,0.0488279,2.02409,54.8668,409600
4.096e+06,2,2,687200,152900,62627972000,1105,452608000,1092,447283200,0,0,0.764502,3.1314e+06,0.048828,2.06365,55.8704,409600
4.096e+06,3,0,0,152424,62432870400,1066,436633600,1105,452608000,0,0,0.76212,3.12164e+06,0.0488281,2.02496,55.0607,409600
4.096e+06,4,0,0,152396,62421401600,1066,436633600,1066,436633600,0,0,0.76198,3.12107e+06,0.0488281,2.02236,54.8848,409600
4.9152e+06,0,1,208800,183160,75022536800,1410,577536000,1267,518963200,0,0,0.763169,3.75113e+06,0.048828,2.02051,54.7887,409600
4.9152e+06,1,2,439200,183420,75129212000,1319,540262400,1410,577536000,0,0,0.764254,3.75646e+06,0.0488279,2.02826,54.9443,409600
4.9152e+06,2,0,0,183199,75038310400,1319,540262400,1319,540262400,0,0,0.763329,3.75192e+06,0.0488281,2.04989,55.5953,409600
4.9152e+06,3,4,1464800,182795,74873005600,1307,535347200,1319,540262400,0,0,0.761648,3.74365e+06,0.048828,2.0227,55.0214,409600
4.9152e+06,4,7,2520800,182853,74896935200,1267,518963200,1307,535347200,0,0,0.761891,3.74485e+06,0.0488279,2.01986,54.8513,409600
5.7344e+06,0,0,0,213738,87547084800,1637,670515200,1500,614400000,0,0,0.76335,4.37735e+06,0.0488281,2.01939,54.7503,409600
5.7344e+06,1,1,208800,214006,87657058400,1551,635289600,1637,670515200,0,0,0.764309,4.38285e+06,0.048828,2.0281,54.9281,409600
5.7344e+06,2,1,408800,214016,87660954400,1543,632012800,1551,635289600,0,0,0.764343,4.38305e+06,0.0488281,2.05811,55.7519,409600
5.7344e+06,3,1,189600,213566,87476853600,1524,624230400,1543,632012800,0,0,0.762738,4.37384e+06,0.048828,2.03218,55.1931,409600
5.7344e+06,4,3,874400,213402,87409813600,1500,614400000,1524,624230400,0,0,0.762153,4.37049e+06,0.0488279,2.02288,54.914,409600
6.5536e+06,0,3,1086400,244452,100127681600,1850,757760000,1731,709017600,0,0,0.763914,5.00638e+06,0.0488281,2.02572,54.8832,409600
6.5536e+06,1,1,327200,244429,100118200800,1737,711475200,1850,757760000,0,0,0.763841,5.00591e+06,0.0488281,2.02504,54.8884,409600
6.5536e+06,2,1,317600,244580,100180060000,1793,734412800,1737,711475200,0,0,0.764313,5.009e+06,0.0488281,2.05926,55.7586,409600
6.5536e+06,3,0,0,244128,99994828800,1752,717619200,1793,734412800,0,0,0.7629,4.99974e+06,0.0488281,2.03282,55.2107,409600
6.5536e+06,4,3,915200,243893,99898886400,1731,709017600,1752,717619200,0,0,0.762168,4.99494e+06,0.048828,2.01636,54.74,409600
7.3728e+06,0,0,0,275231,112734617600,2099,859750400,1954,800358400,0,0,0.764531,5.63673e+06,0.0488281,2.03152,54.9831,409600
7.3728e+06,1,1,388800,275010,112644116800,1937,793395200,2099,859750400,0,0,0.763917,5.63221e+06,0.0488281,2.02274,54.8437,409600
7.3728e+06,2,0,0,275072,112669491200,1978,810188800,1937,793395200,0,0,0.764089,5.63347e+06,0.0488281,2.04913,55.5054,409600
7.3728e+06,3,4,1426400,274894,112596794400,1946,797081600,1978,810188800,0,0,0.763596,5.62984e+06,0.048828,2.03048,55.0925,409600
7.3728e+06,4,2,748000,274243,112330004000,1954,800358400,1946,797081600,0,0,0.761787,5.6165e+06,0.0488281,2.01343,54.6811,409600
8.192e+06,0,3,1218400,305910,125300746400,2395,980992000,2121,868761600,0,0,0.764775,6.26504e+06,0.0488281,2.03556,55.047,409600
8.192e+06,1,3,1204000,305707,125217612000,2215,907264000,2395,980992000,0,0,0.764268,6.26088e+06,0.0488281,2.03402,55.1265,409600
8.192e+06,2,0,0,305932,125309747200,2213,906444800,2215,907264000,0,0,0.76483,6.26549e+06,0.0488281,2.05706,55.6762,409600
8.192e+06,3,1,88000,305347,125070452800,2149,880230400,2213,906444800,0,0,0.763369,6.25352e+06,0.048828,2.02514,54.9709,409600
8.192e+06,4,3,1078400,304785,124840086400,2121,868761600,2149,880230400,0,0,0.761963,6.242e+06,0.0488281,2.0165,54.7546,409600
9.0112e+06,0,1,179200,336240,137724134400,2619,1072742400,2301,942489600,0,0,0.764183,6.88621e+06,0.048828,2.03282,55.0113,409600
9.0112e+06,1,9,3392800,336575,137861413600,2456,1005977600,2619,1072742400,0,0,0.764945,6.89307e+06,0.048828,2.04197,55.2825,409600
9.0112e+06,2,1,249600,336277,137739219200,2431,995737600,2456,1005977600,0,0,0.764267,6.88696e+06,0.0488281,2.04959,55.5236,409600
9.0112e+06,3,1,129600,335849,137564030400,2364,968294400,2431,995737600,0,0,0.763295,6.8782e+06,0.048828,2.02877,55.0711,409600
9.0112e+06,4,0,0,335454,137401958400,2301,942489600,2364,968294400,0,0,0.762395,6.8701e+06,0.0488281,2.01931,54.8067,409600
9.8304e+06,0,0,0,366877,150272819200,2831,1159577600,2534,1037926400,0,0,0.764327,7.51364e+06,0.0488281,2.03367,55.0381,409600
9.8304e+06,1,4,1508000,367307,150449077600,2721,1114521600,2831,1159577600,0,0,0.765224,7.52245e+06,0.0488281,2.04296,55.2767,409600
9.8304e+06,2,1,59200,366930,150294878400,2639,1080934400,2721,1114521600,0,0,0.764439,7.51474e+06,0.048828,2.05279,55.616,409600
