Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
819200,153054,0.765283,62692009600,13,4233600,966,395673600,0,0,10.0293,409600
1.6384e+06,305470,0.763678,125121055200,8,2733600,2121,868761600,0,0,10.1103,409600
2.4576e+06,457741,0.762904,187491239200,8,2751200,3269,1338982400,0,0,10.1166,409600
3.2768e+06,610949,0.76369,250245927200,9,2469600,4349,1781350400,0,0,10.1852,409600
4.096e+06,763994,0.763995,312932302400,1,49600,5463,2237644800,0,0,10.2158,409600
4.9152e+06,916017,0.763349,375201060000,9,3189600,6590,2699264000,0,0,10.1833,409600
5.7344e+06,1068730,0.76338,437752760800,14,4781600,7718,3161292800,0,0,10.1765,409600
6.5536e+06,1221174,0.763235,500193932000,5,986400,8800,3604480000,0,0,10.1672,409600
7.3728e+06,1373171,0.762873,562451347200,5,1542400,9855,4036608000,0,0,10.1539,409600
8.192e+06,1525476,0.762739,624835617600,11,3857600,10860,4448256000,0,0,10.1437,409600
9.0112e+06,1677360,0.762437,687047418400,9,2924000,11825,4843520000,0,0,10.1201,409600
9.8304e+06,1830151,0.762563,749630089600,1,169600,12950,5304320000,0,0,10.1295,409600
1.06496e+07,1983277,0.7628,812351491200,12,3683200,14049,5754470400,0,0,10.1387,409600
1.14688e+07,2135991,0.762854,874902303200,4,1248800,15082,6177587200,0,0,10.1398,409600
1.2288e+07,2287743,0.762581,937059692800,1,249600,16140,6610944000,0,0,10.1294,409600
1.31072e+07,2440399,0.762625,999587936000,8,2771200,17147,7023411200,0,0,10.1404,409600
1.39264e+07,2592939,0.76263,1062068836800,7,1844800,18263,7480524800,0,0,10.1398,409600
1.47456e+07,2745673,0.762688,1124628657600,16,5556800,19316,7911833600,0,0,10.142,409600
1.55648e+07,2898345,0.762723,1187162969600,15,5286400,20409,8359526400,0,0,10.1402,409600
1.6384e+07,3050538,0.762635,1249501224800,12,4055200,21571,8835481600,0,0,10.1417,409600
1.72032e+07,3202997,0.762619,1311948625600,5,993600,22723,9307340800,0,0,10.1363,409600
1.80224e+07,3355764,0.762674,1374521846400,12,4003200,23835,9762816000,0,0,10.1344,409600
1.88416e+07,3508784,0.76278,1437198682400,16,5797600,24938,10214604800,0,0,10.1409,409600
1.96608e+07,3661149,0.76274,1499607561600,9,2755200,26016,10656153600,0,0,10.1388,409600
2.048e+07,3813948,0.76279,1562193712000,3,617600,27083,11093196800,0,0,10.1422,409600
2.12992e+07,3966870,0.76286,1624830052000,1,309600,28229,11562598400,0,0,10.1474,409600
2.21184e+07,4119815,0.762929,1687477408800,17,5778400,29353,12022988800,0,0,10.1514,409600
2.29376e+07,4272927,0.763023,1750190983200,10,4012000,30451,12472729600,0,0,10.1539,409600
2.37568e+07,4425800,0.763069,1812808554400,4,764000,31476,12892569600,0,0,10.1527,409600
2.4576e+07,4578790,0.763132,1875472968000,4,1054400,32660,13377536000,0,0,10.1542,409600
2.53952e+07,4731134,0.763087,1937873528000,9,2644800,33722,13812531200,0,0,10.1511,409600
2.62144e+07,4884348,0.76318,2000630441600,20,6691200,34780,14245888000,0,0,10.1506,409600
2.70336e+07,5036924,0.763171,2063125133600,21,7538400,35926,14715289600,0,0,10.1483,409600
2.78528e+07,5188987,0.763086,2125409444800,7,2497600,36956,15137177600,0,0,10.1422,409600
2.8672e+07,5341254,0.763037,2187778445600,6,1650400,38129,15617638400,0,0,10.1455,409600
2.94912e+07,5493592,0.762999,2250176040000,10,3339200,39163,16041164800,0,0,10.1464,409600
3.03104e+07,5646229,0.763004,2312695799200,2,418400,40259,16490086400,0,0,10.1451,409600
3.11296e+07,5799363,0.763074,2375419588000,8,2773600,41476,16988569600,0,0,10.1496,409600
3.19488e+07,5951956,0.763071,2437921778400,5,1447200,42587,17443635200,0,0,10.1494,409600
3.2768e+07,6103969,0.762996,2500186569600,10,3228800,43608,17861836800,0,0,10.1455,409600
3.35872e+07,6256636,0.763005,2562718477600,2,447200,44673,18298060800,0,0,10.1439,409600
3.44064e+07,6409752,0.763066,2625435012000,5,1455200,45752,18740019200,0,0,10.1479,409600
3.52256e+07,6561812,0.763002,2687719096800,9,2784800,46753,19150028800,0,0,10.1461,409600
3.60448e+07,6714848,0.763051,2750402500000,14,4975200,47848,19598540800,0,0,10.1504,409600
3.6864e+07,6867893,0.763099,2813089646400,6,1784000,48979,20061798400,0,0,10.1562,409600
