Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,731598,0.923507,747138218864,124,125686928,107427,144634138624,0,0,119.827,1.05776e+06
1.6384e+07,1461554,0.923092,1493492768632,80,77766792,212471,285953978368,0,0,118.194,1.05792e+06
2.4576e+07,2190674,0.922479,2238508101264,113,115274096,317003,426640547840,0,0,117.564,1.05776e+06
3.2768e+07,2920922,0.92255,2984944886936,110,111602536,423005,569222377472,0,0,117.672,1.0578e+06
4.096e+07,3652502,0.922915,3732897342112,111,105155936,530904,714448117760,0,0,118.095,1.05803e+06
4.9152e+07,4383752,0.923004,4479980473328,152,159917072,637639,858183835648,0,0,118.251,1.05801e+06
5.7344e+07,5113268,0.92289,5225896249408,169,161658816,744028,1001443328000,0,0,118.193,1.05809e+06
6.5536e+07,5842675,0.922757,5971444573936,110,116238608,849220,1143078359040,0,0,118.002,1.05807e+06
7.3728e+07,6574620,0.922914,6719211208496,123,128291024,957872,1289455181824,0,0,118.303,1.05812e+06
8.192e+07,7304832,0.92292,7465845050328,124,131482664,1063966,1432315621376,0,0,118.26,1.05816e+06
