Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,286,295570176,83008,65535776000,62908,83637026816,0,0,0,0,0.999997,8.19197e+06,0.0101328,295.08,17234.6,1.02234e+06
8.192e+06,1,30,32139304,162899,171533330392,2628,3536875520,19395,25867341824,0,0,0.910397,7.45797e+06,0.0218423,16.1188,2430.12,1.05766e+06
8.192e+06,2,2,1948432,161395,169527403760,2487,3323977728,17803,23695269888,0,0,0.899751,7.37076e+06,0.0218967,14.9574,2247.81,1.05473e+06
8.192e+06,3,1,1058248,161982,170066876984,2507,3360608256,18276,24315011072,0,0,0.902614,7.39421e+06,0.0219066,15.2797,2295.83,1.05434e+06
8.192e+06,4,2,2135016,161462,169630981144,2499,3361476608,17555,23342342144,0,0,0.9003,7.37526e+06,0.0218924,14.8498,2202.08,1.05508e+06
1.6384e+07,0,310,315882240,165899,131071776000,125836,167223218176,0,0,0,0,0.999998,1.6384e+07,0.0101257,294.959,17243.8,1.02248e+06
1.6384e+07,1,11,10222344,325782,343058023672,5245,7056351232,38597,51454287872,0,0,0.910374,1.49156e+07,0.0218417,16.0372,2417.12,1.05766e+06
1.6384e+07,2,15,15155200,323540,339845677056,5028,6760792064,36188,48170029056,0,0,0.901849,1.47759e+07,0.0218965,15.1304,2274.57,1.0549e+06
1.6384e+07,3,1,850320,323569,339635246704,5033,6771593216,35932,47808102400,0,0,0.901291,1.47667e+07,0.021912,15.0632,2259.38,1.05418e+06
1.6384e+07,4,2,1891808,322499,338715763232,4928,6647148544,35353,47026683904,0,0,0.898851,1.47268e+07,0.0218988,14.7789,2216.31,1.05478e+06
2.4576e+07,0,300,319019776,248931,196607776000,189190,251355103232,0,0,0,0,0.999999,2.4576e+07,0.010129,295.435,17258.2,1.02249e+06
2.4576e+07,1,3,3080192,489155,515268169728,7855,10569084928,57809,77038809088,0,0,0.911579,2.2403e+07,0.0218344,16.0601,2411.82,1.058e+06
2.4576e+07,2,31,33316864,485734,510574915584,7660,10297688064,55056,73254617088,0,0,0.903276,2.21989e+07,0.021881,15.3393,2305.87,1.05569e+06
2.4576e+07,3,1,229376,484734,508924620800,7554,10169135104,53620,71320084480,0,0,0.900356,2.21272e+07,0.0219067,15.0549,2252.03,1.05445e+06
2.4576e+07,4,1,154712,483993,508677788584,7528,10150281216,53302,70927781888,0,0,0.89992,2.21164e+07,0.0218839,15.0169,2236.11,1.05555e+06
3.2768e+07,0,308,325667584,331935,262143776000,251948,334725947392,0,0,0,0,0.999999,3.2768e+07,0.0101299,295.209,17255.8,1.02226e+06
3.2768e+07,1,22,21233664,651687,686234677248,10428,14028345344,76711,102218665984,0,0,0.910531,2.98363e+07,0.0218421,15.9447,2401.78,1.05761e+06
3.2768e+07,2,7,7778304,647737,681051545600,10162,13666316288,73305,97537998848,0,0,0.903654,2.96109e+07,0.0218749,15.2921,2300.72,1.05596e+06
3.2768e+07,3,0,0,646300,678800183296,10053,13532655616,71733,95408705536,0,0,0.900667,2.95131e+07,0.0218988,15.0887,2258.15,1.05482e+06
3.2768e+07,4,0,0,645119,677975937024,9968,13428973568,70810,94216867840,0,0,0.899573,2.94772e+07,0.0218853,14.9485,2228.07,1.05544e+06
4.096e+07,0,318,320592640,414760,327679776000,314424,417732120576,0,0,0,0,0.999999,4.096e+07,0.010126,294.671,17239.4,1.02225e+06
4.096e+07,1,1,1465768,814564,857525527128,12976,17473404928,95556,127296704512,0,0,0.910247,3.72837e+07,0.0218477,15.8417,2391.14,1.05735e+06
4.096e+07,2,0,0,809819,851408084992,12650,17014067200,91776,122123456512,0,0,0.903753,3.70177e+07,0.0218765,15.2811,2300.46,1.05587e+06
4.096e+07,3,22,21938176,807820,848623988736,12538,16872890368,89355,118864461824,0,0,0.900798,3.68967e+07,0.0218941,15.0276,2249.17,1.05502e+06
4.096e+07,4,0,0,806401,847444574208,12379,16672878592,88280,117480738816,0,0,0.899546,3.68454e+07,0.0218861,14.8727,2220.07,1.05537e+06
4.9152e+07,0,337,343239424,497759,393215776000,377185,501133574144,0,0,0,0,0.999999,4.9152e+07,0.0101269,294.636,17239.4,1.02218e+06
4.9152e+07,1,1,880656,976948,1028676141040,15512,20886548480,114861,152952893440,0,0,0.909933,4.4725e+07,0.0218434,15.7996,2392.42,1.05754e+06
4.9152e+07,2,13,14049280,971342,1021440798720,15184,20407058432,109586,145820577792,0,0,0.903533,4.44105e+07,0.0218719,15.2413,2292.66,1.05608e+06
4.9152e+07,3,2,1722536,969462,1018969900888,15077,20280000512,107450,142991884288,0,0,0.901348,4.4303e+07,0.0218825,15.0541,2253.12,1.05557e+06
4.9152e+07,4,3,2788264,967349,1016716072024,14814,19948408832,105875,140890234880,0,0,0.899354,4.4205e+07,0.0218832,14.8492,2219.48,1.05549e+06
5.7344e+07,0,318,323902208,580732,458751776000,439990,584640012288,0,0,0,0,1,5.7344e+07,0.0101272,294.67,17243.8,1.02221e+06
5.7344e+07,1,32,30385448,1139150,1199393381080,18052,24320679936,133821,178195488768,0,0,0.909381,5.21475e+07,0.0218448,15.7435,2389.09,1.05747e+06
5.7344e+07,2,2,650016,1133141,1191629079776,17651,23724277760,127532,169772503040,0,0,0.903494,5.181e+07,0.0218711,15.1843,2287.14,1.0561e+06
5.7344e+07,3,6,6197712,1131289,1189138255408,17543,23595429888,125668,167247048704,0,0,0.901605,5.17017e+07,0.0218811,15.0484,2256.51,1.05562e+06
5.7344e+07,4,3,2077008,1128956,1186329632432,17266,23236431872,123481,164301791232,0,0,0.899476,5.15795e+07,0.0218877,14.8114,2217.32,1.05526e+06
6.5536e+07,0,301,301992704,663757,524287776000,502805,668188528640,0,0,0,0,1,6.5536e+07,0.0101281,294.739,17248.2,1.02221e+06
6.5536e+07,1,27,28651520,1301840,1370833154048,20637,27806625792,153260,204075446272,0,0,0.909446,5.96014e+07,0.0218424,15.765,2393.53,1.05759e+06
6.5536e+07,2,4,4153856,1294700,1361349295616,20149,27082788864,145802,194112540672,0,0,0.903154,5.91891e+07,0.021874,15.1779,2288.73,1.05596e+06
6.5536e+07,3,23,24813568,1291997,1357923651584,20003,26895785984,143148,190530359296,0,0,0.900881,5.90402e+07,0.0218834,14.993,2251.23,1.0555e+06
6.5536e+07,4,2,1284456,1289829,1355281151640,19690,26483519488,141074,187738902528,0,0,0.899128,5.89253e+07,0.0218892,14.7638,2215.6,1.05517e+06
7.3728e+07,0,305,315591424,747006,589823776000,566094,752318427136,0,0,0,0,1,7.3728e+07,0.0101319,295.037,17257.1,1.02212e+06
7.3728e+07,1,9,8462336,1464727,1542557323264,23257,31334572032,172436,229642883072,0,0,0.909664,6.70677e+07,0.0218395,15.7985,2396.19,1.05773e+06
7.3728e+07,2,22,22013808,1456746,1532038752400,22669,30462812160,164342,218786058240,0,0,0.903461,6.66104e+07,0.0218697,15.1848,2292.29,1.05616e+06
7.3728e+07,3,5,5125096,1454098,1528038472728,22523,30281064448,161106,214421704704,0,0,0.901102,6.64365e+07,0.021887,15.0288,2253.53,1.05533e+06
7.3728e+07,4,3,2711552,1451058,1524801294336,22159,29807046656,158818,211353276416,0,0,0.899193,6.62957e+07,0.0218877,14.7641,2217.1,1.05525e+06
8.192e+07,0,294,303606528,829778,655359776000,629349,836421144576,0,0,0,0,1,8.192e+07,0.0101291,294.995,17253.6,1.02238e+06
8.192e+07,1,3,2521048,1627379,1713838266408,25842,34828185600,191380,254826422272,0,0,0.909603,7.45147e+07,0.0218397,15.7853,2393.32,1.05773e+06
8.192e+07,2,16,16073840,1619178,1703026932624,25223,33897312256,182767,243349803008,0,0,0.903865,7.40446e+07,0.0218676,15.1988,2292.94,1.05627e+06
8.192e+07,3,6,6636792,1615586,1697789115144,25107,33767817216,178916,238179938304,0,0,0.901085,7.38169e+07,0.0218864,15.0351,2252.4,1.05538e+06
8.192e+07,4,39,41574400,1613000,1695195078656,24689,33210916864,177147,235769212928,0,0,0.899709,7.37041e+07,0.0218848,14.8149,2224.22,1.05539e+06
