Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,150761,117103891168,228952,163839860000,349653,464886284288,0,0,0,0,0.999999,8.19199e+06,0.0279483,90102.4,1.52742e+06,1.02257e+06
8.192e+06,1,226575,301128204288,123078,163758080000,0,0,349653,464886284288,226575,301128204288,0.9995,8.1879e+06,0.0150317,98542.1,2.71338e+06,1.32956e+06
8.192e+06,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+06,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,0,409676,377603818208,458160,327679860000,592134,787135635456,0,0,0,0,1,1.6384e+07,0.0279639,180160,3.04798e+06,1.02223e+06
1.6384e+07,1,345779,459537555456,246355,327598080000,0,0,592134,787135635456,345779,459537555456,0.99975,1.63799e+07,0.0150401,197275,5.42627e+06,1.32932e+06
1.6384e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
1.6384e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,0,501439,415558013664,687309,491519860000,1001809,1331614691328,0,0,0,0,1,2.4576e+07,0.0279667,267683,4.57007e+06,1.02197e+06
2.4576e+07,1,632189,840176611328,369620,491438080000,0,0,1001809,1331614691328,632189,840176611328,0.999833,2.45719e+07,0.0150424,298795,8.13995e+06,1.32921e+06
2.4576e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
2.4576e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,0,703119,599975203552,916793,655359860000,1302781,1731632885760,0,0,0,0,1,3.2768e+07,0.0279783,356396,6.09732e+06,1.02199e+06
3.2768e+07,1,809839,1076354805760,492942,655278080000,0,0,1302781,1731632885760,809839,1076354805760,0.999875,3.27639e+07,0.0150453,399197,1.08542e+07,1.32918e+06
3.2768e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
3.2768e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,0,814354,663910490848,1145908,819199860000,1694040,2251734872064,0,0,0,0,1,4.096e+07,0.0279763,447603,7.62303e+06,1.02204e+06
4.096e+07,1,1077818,1432616792064,616222,819118080000,0,0,1694040,2251734872064,1077818,1432616792064,0.9999,4.09559e+07,0.015046,497404,1.35678e+07,1.32921e+06
4.096e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.096e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.9152e+07,0,1314563,1245316707040,1374968,983039860000,1694040,2251734872064,0,0,0,0,1,4.9152e+07,0.0279738,550481,9.14992e+06,1.02202e+06
4.9152e+07,1,954587,1268776792064,739453,982958080000,0,0,1694040,2251734872064,954587,1268776792064,0.999917,4.91479e+07,0.0150455,583872,1.62803e+07,1.32921e+06
4.9152e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.9152e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
4.9152e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
5.7344e+07,0,1306856,1151208669920,1604141,1146879860000,2203225,2928554250240,0,0,0,0,1,5.7344e+07,0.027974,625002,1.06798e+07,1.02198e+06
5.7344e+07,1,1340479,1781756170240,862746,1146798080000,0,0,2203225,2928554250240,1340479,1781756170240,0.999929,5.73399e+07,0.0150462,698436,1.89937e+07,1.32921e+06
5.7344e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
5.7344e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
5.7344e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
6.5536e+07,0,1147140,855060603616,1833267,1310719860000,2865272,3808597422080,0,0,0,0,1,6.5536e+07,0.0279734,728682,1.22091e+07,1.02202e+06
6.5536e+07,1,1879250,2497959342080,986022,1310638080000,0,0,2865272,3808597422080,1879250,2497959342080,0.999937,6.55319e+07,0.0150464,783936,2.17061e+07,1.32923e+06
6.5536e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
6.5536e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
6.5536e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
7.3728e+07,0,1650003,1439229625056,2062490,1474559860000,2865272,3808597422080,0,0,0,0,1,7.3728e+07,0.0279743,803122,1.37382e+07,1.02199e+06
7.3728e+07,1,1755944,2334119342080,1109328,1474478080000,0,0,2865272,3808597422080,1755944,2334119342080,0.999944,7.37239e+07,0.0150471,898787,2.44199e+07,1.32923e+06
7.3728e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
7.3728e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
7.3728e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+07,0,2150770,2022025974496,2291914,1638399860000,2865272,3808597422080,0,0,0,0,1,8.192e+07,0.0279775,912783,1.52667e+07,1.02204e+06
8.192e+07,1,1632686,2170279342080,1232586,1638318080000,0,0,2865272,3808597422080,1632686,2170279342080,0.99995,8.19159e+07,0.015047,978340,2.7132e+07,1.32923e+06
8.192e+07,2,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+07,3,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
8.192e+07,4,0,0,0,0,0,0,0,0,0,0,0,0,-nan,0,-nan,0
