Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,592900,0.790528,647600467712,138165,99440558336,364163,484004622336,182,243994624,69702,1.26763e+06
1.6384e+07,1186468,0.790749,1295562632960,274163,196688343296,728582,968112545792,175,229752832,137942,1.26739e+06
2.4576e+07,1781861,0.79187,1946099449600,411315,294789738752,1094867,1454831177728,187,251568128,206313,1.2674e+06
3.2768e+07,2376642,0.792226,2595965525760,547378,391815196928,1460551,1940843282432,180,237596672,274556,1.26748e+06
4.096e+07,2970692,0.792207,3244878900992,683155,488762962176,1825424,2425922449408,187,243388416,342731,1.26761e+06
4.9152e+07,3565637,0.792384,3894726545152,819265,586075980032,2191009,2911918858240,177,232153088,410783,1.26766e+06
5.7344e+07,4159083,0.792167,4542605119232,954609,682895757568,2555164,3395957465088,174,232185856,478811,1.26768e+06
6.5536e+07,4753615,0.792223,5191915114240,1090394,780115738880,2920401,3881456148480,201,260874240,546763,1.2677e+06
7.3728e+07,5347736,0.792177,5840563203840,1227779,878261530880,3285223,4366241239040,179,237875200,614816,1.26767e+06
8.192e+07,5941442,0.792083,6488743833344,1363727,975490244864,3649652,4850585268224,181,241274880,682898,1.26766e+06
