Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
819200,153194,0.76598,62749108800,18,6526400,1105,452608000,0,0,10.4548,409600
1.6384e+06,305601,0.764009,125175191200,8,2255200,2145,878592000,0,0,10.214,409600
2.4576e+06,457625,0.762711,187443977600,12,4137600,3163,1295564800,0,0,10.1184,409600
3.2768e+06,610198,0.762751,249938304800,17,5759200,4201,1720729600,0,0,10.1084,409600
4.096e+06,762672,0.762675,312391593600,9,2544000,5306,2173337600,0,0,10.1108,409600
4.9152e+06,915302,0.762753,374908423200,10,3372000,6343,2598092800,0,0,10.0983,409600
5.7344e+06,1067713,0.762653,437335856000,5,1436800,7320,2998272000,0,0,10.0895,409600
6.5536e+06,1220432,0.762771,499889410400,9,3223200,8334,3413606400,0,0,10.0891,409600
7.3728e+06,1373255,0.762921,562486763200,8,1761600,9370,3837952000,0,0,10.1032,409600
8.192e+06,1526030,0.763015,625062248800,2,458400,10450,4280320000,0,0,10.113,409600
9.0112e+06,1678484,0.762948,687507802400,15,5388000,11513,4715724800,0,0,10.1172,409600
9.8304e+06,1830852,0.762856,749917834400,12,4060000,12545,5138432000,0,0,10.1145,409600
1.06496e+07,1983750,0.762982,812544857600,14,4876800,13629,5582438400,0,0,10.1104,409600
1.14688e+07,2136478,0.763029,875102242400,5,1194400,14769,6049382400,0,0,10.1139,409600
1.2288e+07,2288527,0.762843,937381932800,18,6099200,15891,6508953600,0,0,10.1068,409600
1.31072e+07,2441430,0.762948,1000011054400,17,5636800,17092,7000883200,0,0,10.1211,409600
1.39264e+07,2593978,0.762935,1062494448800,11,3445600,18139,7429734400,0,0,10.1288,409600
1.47456e+07,2746994,0.763055,1125169966400,13,4100800,19310,7909376000,0,0,10.1364,409600
1.55648e+07,2899925,0.763139,1187809823200,7,2324000,20389,8351334400,0,0,10.1357,409600
1.6384e+07,3052829,0.763208,1250439492800,5,1313600,21435,8779776000,0,0,10.1468,409600
1.72032e+07,3205700,0.763262,1313055683200,6,1494400,22514,9221734400,0,0,10.1511,409600
1.80224e+07,3358317,0.763255,1375567811200,25,9072000,23588,9661644800,0,0,10.1464,409600
1.88416e+07,3510978,0.763257,1438097532800,8,2332800,24770,10145792000,0,0,10.1496,409600
1.96608e+07,3664371,0.763411,1500927211200,11,3656000,25912,10613555200,0,0,10.1679,409600
2.048e+07,3816774,0.763355,1563351782400,9,2534400,27039,11075174400,0,0,10.1625,409600
2.12992e+07,3968955,0.763261,1625684403200,9,3251200,28084,11503206400,0,0,10.1528,409600
2.21184e+07,4121683,0.763275,1688242123200,6,1691200,29262,11985715200,0,0,10.1547,409600
2.29376e+07,4275063,0.763404,1751066522400,8,2559200,30395,12449792000,0,0,10.1641,409600
2.37568e+07,4428269,0.763495,1813819476800,8,2782400,31533,12915916800,0,0,10.1675,409600
2.4576e+07,4580976,0.763496,1876368836000,13,4258400,32719,13401702400,0,0,10.1676,409600
2.53952e+07,4733741,0.763507,1938940918400,7,2262400,33822,13853491200,0,0,10.1678,409600
2.62144e+07,4885768,0.763402,2001211542400,6,1488000,34882,14287667200,0,0,10.1675,409600
2.70336e+07,5037686,0.763286,2063436576800,5,1656800,36009,14749286400,0,0,10.165,409600
2.78528e+07,5189249,0.763125,2125517597600,12,3708000,37132,15209267200,0,0,10.1636,409600
2.8672e+07,5342401,0.7632,2188248205600,17,6207200,38238,15662284800,0,0,10.1662,409600
2.94912e+07,5495639,0.763283,2251014328800,11,3911200,39383,16131276800,0,0,10.173,409600
3.03104e+07,5648573,0.763321,2313656776800,12,3639200,40423,16557260800,0,0,10.1752,409600
3.11296e+07,5801189,0.763314,2376167233600,12,4696000,41576,17029529600,0,0,10.1742,409600
3.19488e+07,5953683,0.763293,2438629416800,7,2007200,42708,17493196800,0,0,10.171,409600
3.2768e+07,6105924,0.763241,2500986756000,10,3810400,43798,17939660800,0,0,10.168,409600
3.35872e+07,6258563,0.76324,2563508248000,15,5300800,44872,18379571200,0,0,10.1691,409600
3.44064e+07,6411546,0.763279,2626169899200,11,3848000,45922,18809651200,0,0,10.1668,409600
3.52256e+07,6564056,0.763263,2688638508800,10,2924800,46962,19235635200,0,0,10.1652,409600
3.60448e+07,6715698,0.763148,2750750707200,10,3289600,47995,19658752000,0,0,10.1583,409600
3.6864e+07,6869196,0.763244,2813623839200,10,2938400,49153,20133068800,0,0,10.1624,409600
3.76832e+07,7022191,0.763282,2876290383200,12,3965600,50256,20584857600,0,0,10.1658,409600
3.85024e+07,7175067,0.763305,2938907982400,21,8062400,51342,21029683200,0,0,10.169,409600
3.93216e+07,7327228,0.763253,3001233914400,11,3180000,52355,21444608000,0,0,10.169,409600
4.01408e+07,7480130,0.763279,3063862131200,21,7718400,53477,21904179200,0,0,10.1689,409600
4.096e+07,7633562,0.763356,3126707707200,11,3793600,54562,22348595200,0,0,10.1687,409600
4.17792e+07,7785853,0.763319,3189085960000,19,7211200,55580,22765568000,0,0,10.1673,409600
4.25984e+07,7938470,0.763315,3251597839200,9,3159200,56665,23209984000,0,0,10.1688,409600
4.34176e+07,8090771,0.763281,3313980945600,18,6228800,57656,23615897600,0,0,10.1675,409600
4.42368e+07,8243531,0.76329,3376551125600,23,8592800,58776,24074649600,0,0,10.1678,409600
4.5056e+07,8396369,0.763306,3439153426400,7,2183200,59936,24549785600,0,0,10.1691,409600
4.58752e+07,8549575,0.763355,3501906357600,8,2839200,61032,24998707200,0,0,10.1711,409600
4.66944e+07,8702529,0.76338,3564556762400,5,1164000,62040,25411584000,0,0,10.1703,409600
4.75136e+07,8855494,0.763405,3627211150400,6,1649600,63100,25845760000,0,0,10.1714,409600
4.83328e+07,9008766,0.763455,3689991409600,8,2420800,64193,26293452800,0,0,10.1743,409600
4.9152e+07,9161755,0.76348,3752655018400,6,2287200,65297,26745651200,0,0,10.1768,409600
4.99712e+07,9314381,0.763474,3815171186400,9,2957600,66302,27157299200,0,0,10.1773,409600
5.07904e+07,9467207,0.763485,3877768362400,9,3311200,67458,27630796800,0,0,10.1768,409600
5.16096e+07,9619867,0.763482,3940298136800,4,1024800,68573,28087500800,0,0,10.1779,409600
5.24288e+07,9772549,0.763481,4002836896000,10,3270400,69597,28506931200,0,0,10.1778,409600
5.3248e+07,9925297,0.763484,4065402177600,21,8075200,70630,28930048000,0,0,10.177,409600
5.40672e+07,10077681,0.763461,4127818698400,5,1487200,71702,29369139200,0,0,10.1745,409600
