Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,4,1440000,305221,125018720000,1112,455475200,1176,481689600,0,0,0.763054,6.25094e+06,0.048828,2.01427,54.6611,409600
8.192e+06,1,6,2064000,305673,125204054400,1153,472268800,1105,452608000,0,0,0.764185,6.2602e+06,0.048828,2.04279,55.312,409600
8.192e+06,2,0,0,305175,124999680000,1090,446464000,1091,446873600,0,0,0.762937,6.24998e+06,0.0488281,2.01483,54.6792,409600
8.192e+06,3,2,797600,304954,124909180000,1131,463257600,1075,440320000,0,0,0.762385,6.24546e+06,0.0488281,2.03481,55.2296,409600
8.192e+06,4,0,0,306054,125359718400,1052,430899200,1091,446873600,0,0,0.765135,6.26799e+06,0.0488281,2.01728,54.6115,409600
1.6384e+07,0,0,0,611138,250322124800,2232,914227200,2379,974438400,0,0,0.763922,1.25161e+07,0.0488281,2.01876,54.7205,409600
1.6384e+07,1,4,1455200,612121,250724944800,2261,926105600,2190,897024000,0,0,0.765152,1.25362e+07,0.0488281,2.04312,55.2576,409600
1.6384e+07,2,0,0,610105,249899008000,2221,909721600,2143,877772800,0,0,0.762631,1.2495e+07,0.0488281,2.02132,54.8647,409600
1.6384e+07,3,3,1004800,610555,250083552000,2295,940032000,2137,875315200,0,0,0.763194,1.25042e+07,0.0488281,2.03128,55.079,409600
1.6384e+07,4,0,0,611971,250663321600,2103,861388800,2263,926924800,0,0,0.764964,1.25332e+07,0.0488281,2.01732,54.6284,409600
2.4576e+07,0,4,1484000,916660,375464090400,3333,1365196800,3716,1522073600,0,0,0.763884,1.87732e+07,0.0488281,2.02392,54.8728,409600
2.4576e+07,1,7,2643200,917860,375955680000,3431,1405337600,3237,1325875200,0,0,0.764884,1.87978e+07,0.0488281,2.04484,55.3201,409600
2.4576e+07,2,0,0,915542,375006003200,3372,1381171200,3176,1300889600,0,0,0.762952,1.87503e+07,0.0488281,2.02412,54.9095,409600
2.4576e+07,3,1,128800,916750,375501080800,3426,1403289600,3256,1333657600,0,0,0.763959,1.87751e+07,0.0488281,2.02699,54.9167,409600
2.4576e+07,4,1,19200,916839,375537644800,3179,1302118400,3356,1374617600,0,0,0.764033,1.87769e+07,0.0488281,2.00807,54.4388,409600
3.2768e+07,0,6,2340800,1222242,500630440000,4394,1799782400,4922,2016051200,0,0,0.763901,2.50315e+07,0.0488281,2.02241,54.8326,409600
3.2768e+07,1,1,389600,1223357,501087047200,4542,1860403200,4304,1762918400,0,0,0.764598,2.50544e+07,0.0488281,2.03974,55.2081,409600
3.2768e+07,2,0,0,1220904,500082278400,4485,1837056000,4248,1739980800,0,0,0.763065,2.50041e+07,0.0488281,2.02322,54.876,409600
3.2768e+07,3,3,906400,1222058,500555279200,4486,1837465600,4401,1802649600,0,0,0.763787,2.50278e+07,0.0488281,2.02389,54.8533,409600
3.2768e+07,4,1,348800,1221406,500287958400,4264,1746534400,4296,1759641600,0,0,0.763379,2.50144e+07,0.0488281,2.00553,54.4048,409600
4.096e+07,0,0,0,1528481,626065817600,5473,2241740800,6160,2523136000,0,0,0.764241,3.13033e+07,0.0488281,2.02203,54.7972,409600
4.096e+07,1,1,309600,1529077,626310039200,5664,2319974400,5429,2223718400,0,0,0.764539,3.13155e+07,0.0488281,2.0401,55.2243,409600
4.096e+07,2,4,1238400,1526516,625261353600,5571,2281881600,5366,2197913600,0,0,0.763258,3.12631e+07,0.0488281,2.02403,54.8877,409600
4.096e+07,3,0,0,1527420,625631232000,5544,2270822400,5389,2207334400,0,0,0.76371,3.12816e+07,0.0488281,2.01878,54.7231,409600
4.096e+07,4,1,268800,1526364,625198835200,5348,2190540800,5256,2152857600,0,0,0.763182,3.12599e+07,0.0488281,2.00549,54.4122,409600
4.9152e+07,0,1,348800,1833478,750992649600,6569,2690662400,7329,3001958400,0,0,0.763949,3.75496e+07,0.0488281,2.01481,54.6272,409600
4.9152e+07,1,0,0,1833371,750948761600,6730,2756608000,6621,2711961600,0,0,0.763905,3.75474e+07,0.0488281,2.03439,55.1242,409600
4.9152e+07,2,0,0,1831942,750363443200,6673,2733260800,6460,2646016000,0,0,0.763309,3.75182e+07,0.0488281,2.02352,54.8707,409600
4.9152e+07,3,2,748000,1832884,750749357600,6634,2717286400,6474,2651750400,0,0,0.763702,3.75375e+07,0.0488281,2.02061,54.772,409600
4.9152e+07,4,2,768000,1832037,750402406400,6456,2644377600,6178,2530508800,0,0,0.763349,3.75201e+07,0.0488281,2.01133,54.5468,409600
5.7344e+07,0,6,2157600,2138821,876061381600,7657,3136307200,8578,3513548800,0,0,0.763865,4.38031e+07,0.0488281,2.01351,54.6017,409600
5.7344e+07,1,1,329600,2139434,876312246400,7815,3201024000,7780,3186688000,0,0,0.764084,4.38156e+07,0.0488281,2.03726,55.1859,409600
5.7344e+07,2,4,1556800,2137423,875488542400,7777,3185459200,7580,3104768000,0,0,0.763365,4.37744e+07,0.0488281,2.02404,54.8845,409600
5.7344e+07,3,7,2659200,2138305,875849936000,7730,3166208000,7520,3080192000,0,0,0.763681,4.37925e+07,0.0488281,2.0221,54.8124,409600
5.7344e+07,4,4,1527200,2137783,875636028000,7581,3105177600,7102,2908979200,0,0,0.763494,4.37818e+07,0.0488281,2.01506,54.6325,409600
6.5536e+07,0,0,0,2444246,1001163161600,8727,3574579200,9874,4044390400,0,0,0.763827,5.00582e+07,0.0488281,2.01332,54.601,409600
6.5536e+07,1,1,345600,2444567,1001294707200,8935,3659776000,8912,3650355200,0,0,0.763927,5.00647e+07,0.0488281,2.03299,55.0818,409600
6.5536e+07,2,2,478400,2442024,1000253371200,8905,3647488000,8670,3551232000,0,0,0.763133,5.00127e+07,0.0488281,2.02402,54.9005,409600
6.5536e+07,3,0,0,2443536,1000872345600,8832,3617587200,8515,3487744000,0,0,0.763605,5.00436e+07,0.0488281,2.02157,54.8023,409600
6.5536e+07,4,1,9600,2443130,1000706448000,8690,3559424000,8118,3325132800,0,0,0.763478,5.00353e+07,0.0488281,2.01651,54.6733,409600
7.3728e+07,0,1,329600,2749941,1126375913600,9821,4022681600,11063,4531404800,0,0,0.763873,5.63188e+07,0.0488281,2.01501,54.6422,409600
7.3728e+07,1,3,1116800,2751027,1126820771200,10051,4116889600,10059,4120166400,0,0,0.764174,5.6341e+07,0.0488281,2.03521,55.1225,409600
7.3728e+07,2,0,0,2747785,1125492736000,10017,4102963200,9741,3989913600,0,0,0.763274,5.62746e+07,0.0488281,2.02557,54.9319,409600
7.3728e+07,3,3,1217600,2748308,1125706968000,9931,4067737600,9585,3926016000,0,0,0.763419,5.62853e+07,0.0488281,2.02039,54.7846,409600
7.3728e+07,4,1,72000,2747600,1125417297600,9791,4010393600,9163,3753164800,0,0,0.763222,5.62709e+07,0.0488281,2.01559,54.6682,409600
8.192e+07,0,2,548000,3054988,1251323356000,10959,4488806400,12244,5015142400,0,0,0.763747,6.25662e+07,0.0488281,2.01588,54.6701,409600
8.192e+07,1,2,526400,3056334,1251874699200,11165,4573184000,11118,4553932800,0,0,0.764084,6.25937e+07,0.0488281,2.03246,55.0548,409600
8.192e+07,2,0,0,3053013,1250514124800,11139,4562534400,10838,4439244800,0,0,0.763253,6.25257e+07,0.0488281,2.02359,54.8805,409600
8.192e+07,3,3,882400,3053519,1250721728800,11006,4508057600,10695,4380672000,0,0,0.76338,6.25361e+07,0.0488281,2.02123,54.8117,409600
8.192e+07,4,0,0,3052579,1250336358400,10855,4446208000,10229,4189798400,0,0,0.763145,6.25168e+07,0.0488281,2.01442,54.6449,409600
