Time,Total_reqs_processed,Avg_utilization,total_bytes_processed,total_pending_reqs,total_pending_respSize,total_requests_forwarded,total_size_of_requests_forwarded,total_pending_forwarded_requests,size_of_pending_forwarded_requests,Consolidated average # requests in system,Consolidated Average Response Size
8.192e+06,731193,0.91248,747503831584,34,32769504,0,0,0,0,32.9189,1.02231e+06
1.6384e+07,1460239,0.911008,1492596131744,34,35899488,0,0,0,0,31.6529,1.02216e+06
2.4576e+07,2190937,0.911103,2239125972032,44,42589120,0,0,0,0,31.4624,1.02199e+06
3.2768e+07,2920596,0.910796,2984497959680,16,15785216,0,0,0,0,31.2058,1.02188e+06
4.096e+07,3650259,0.910695,3730206595616,21,19572192,0,0,0,0,31.0461,1.0219e+06
4.9152e+07,4379606,0.910502,4475298164032,20,18105024,0,0,0,0,31.0281,1.02185e+06
5.7344e+07,5109006,0.910413,5220671240832,68,69735808,0,0,0,0,30.908,1.02186e+06
6.5536e+07,5839593,0.910498,5967041159712,10,8044000,0,0,0,0,31.0205,1.02182e+06
7.3728e+07,6568401,0.910394,6712153174304,51,49913568,0,0,0,0,30.987,1.02189e+06
8.192e+07,7299857,0.910619,7459787342560,24,19860768,0,0,0,0,31.0193,1.02191e+06
