Time,Server_no,Pending_Requests,Pending_req_size,Processed Requests,Processed req size,# Requests Forwarded,Size of Requests Forwarded,# Forwarded Requests Received,Size of Forwarded Requests Received,# Pending Forwarded Requests Received,Size of Pending Forwarded Requests Received,Utilization,Busy Time,Average Service Rate,Average # requests in system,Average Response Time,Average Response Size
8.192e+06,0,9,7458304,146218,149582766592,1672,2232119296,1614,2150744064,0,0,0.912981,7.47914e+06,0.0195501,5.84741,327.535,1.02653e+06
8.192e+06,1,1,374688,146634,149830813792,1577,2092924928,1698,2255712256,0,0,0.914495,7.49154e+06,0.0195733,5.61436,314.597,1.02505e+06
8.192e+06,2,2,1140896,146657,150121686880,1633,2174734336,1609,2133037056,0,0,0.91627,7.50608e+06,0.0195384,5.80675,324.632,1.02701e+06
8.192e+06,3,10,9714432,146180,149518685440,1582,2102026240,1699,2262347776,0,0,0.91259,7.47593e+06,0.0195534,5.5895,314.286,1.02611e+06
8.192e+06,4,5,4397376,146424,149753042624,1642,2177011712,1486,1976975360,0,0,0.91402,7.48765e+06,0.0195554,5.67088,317.526,1.02609e+06
1.6384e+07,0,0,0,292444,299050946560,3283,4382420992,3235,4302368768,0,0,0.912631,1.49525e+07,0.0195581,5.73529,321.622,1.02606e+06
1.6384e+07,1,6,4151488,292974,299578443584,3172,4218052608,3439,4571807744,0,0,0.914241,1.49789e+07,0.0195591,5.59102,313.644,1.02583e+06
1.6384e+07,2,2,1470272,292925,299798814912,3315,4410970112,3145,4177469440,0,0,0.914913,1.49899e+07,0.0195414,5.79999,324.53,1.0269e+06
1.6384e+07,3,1,480064,292153,298562923712,3258,4329938944,3292,4390723584,0,0,0.911142,1.49281e+07,0.0195706,5.61977,315.761,1.02533e+06
1.6384e+07,4,2,1771008,292366,298827110912,3249,4318425088,3166,4217438208,0,0,0.911948,1.49414e+07,0.0195676,5.61285,315.028,1.02547e+06
2.4576e+07,0,1,1144256,437865,447803128384,4805,6414225408,4907,6534979584,0,0,0.911058,2.23902e+07,0.0195561,5.61464,315.625,1.02609e+06
2.4576e+07,1,1,156512,438684,448408939680,4706,6248857600,5143,6845661184,0,0,0.91229,2.24204e+07,0.0195662,5.51778,310.118,1.02541e+06
2.4576e+07,2,10,7734336,439485,449723325376,4951,6597550080,4674,6210584576,0,0,0.914964,2.24862e+07,0.0195447,5.77106,322.761,1.02674e+06
2.4576e+07,3,3,3143808,437853,447401285504,4841,6455128064,4691,6250864640,0,0,0.91024,2.23701e+07,0.0195732,5.52538,310.567,1.02521e+06
2.4576e+07,4,1,1170368,437893,447664108608,4809,6387281920,4697,6260953088,0,0,0.910775,2.23832e+07,0.0195635,5.51842,310.234,1.02564e+06
3.2768e+07,0,7,7715776,584253,597373383744,6481,8657264640,6413,8553394176,0,0,0.911519,2.98687e+07,0.0195607,5.65401,317.475,1.0259e+06
3.2768e+07,1,1,1283008,585106,598136302656,6276,8326701056,6866,9128394752,0,0,0.912684,2.99068e+07,0.0195643,5.58024,313.52,1.0255e+06
3.2768e+07,2,4,3254816,585904,599476516320,6560,8750821376,6399,8516980736,0,0,0.914729,2.99738e+07,0.0195472,5.73711,321.177,1.0266e+06
3.2768e+07,3,2,1710528,583855,596672583232,6481,8650428416,6288,8376475648,0,0,0.91045,2.98336e+07,0.0195704,5.5504,311.967,1.02539e+06
3.2768e+07,4,6,6219680,583853,596719945824,6448,8569024512,6280,8378994688,0,0,0.910522,2.9836e+07,0.0195687,5.59475,314.344,1.02539e+06
4.096e+07,0,0,0,730686,746916442112,8064,10760933376,8106,10804789248,0,0,0.911763,3.73458e+07,0.0195654,5.63141,316.173,1.02562e+06
4.096e+07,1,5,4644640,731615,747816120544,7909,10507120640,8560,11376386048,0,0,0.912861,3.73908e+07,0.0195667,5.6224,315.7,1.02542e+06
4.096e+07,2,0,0,732463,749182877696,8174,10907574272,8099,10785177600,0,0,0.91453,3.74591e+07,0.0195537,5.76047,322.48,1.02627e+06
4.096e+07,3,1,705888,730241,746055047840,8132,10844270592,7759,10331983872,0,0,0.910712,3.73028e+07,0.0195761,5.56563,312.615,1.02509e+06
4.096e+07,4,14,15154368,730040,746025902912,8083,10737213440,7838,10458775552,0,0,0.910676,3.73013e+07,0.0195714,5.60863,314.978,1.02525e+06
4.9152e+07,0,5,6797856,876867,896292140512,9681,12916953088,9653,12859314176,0,0,0.911756,4.48146e+07,0.0195665,5.64901,317.099,1.02556e+06
4.9152e+07,1,6,5315168,877996,897229092256,9480,12580982784,10244,13623369728,0,0,0.912709,4.48615e+07,0.0195713,5.62402,315.742,1.02516e+06
4.9152e+07,2,2,1632032,879012,898880506080,9771,13036961792,9838,13085720576,0,0,0.914389,4.4944e+07,0.0195579,5.75759,322.341,1.02603e+06
4.9152e+07,3,3,2624256,876442,895420343552,9700,12935897088,9276,12347047936,0,0,0.910869,4.4771e+07,0.0195761,5.56795,312.692,1.02507e+06
4.9152e+07,4,3,2273920,876215,895542517120,9711,12897370112,9332,12452712448,0,0,0.910993,4.47771e+07,0.0195684,5.60055,314.495,1.02541e+06
5.7344e+07,0,14,13026976,1023358,1046015433056,11261,15027212288,11235,14971392000,0,0,0.912053,5.23008e+07,0.0195668,5.65734,317.43,1.02554e+06
5.7344e+07,1,14,15822112,1023836,1046568620768,11056,14686101504,12056,16031936512,0,0,0.912535,5.23284e+07,0.0195656,5.62256,315.902,1.02548e+06
5.7344e+07,2,8,7394464,1025105,1048075443040,11353,15155683328,11382,15147651072,0,0,0.913849,5.24038e+07,0.0195617,5.71468,320.069,1.02583e+06
5.7344e+07,3,13,14022944,1022974,1045033322208,11368,15163981824,10887,14502928384,0,0,0.911197,5.22517e+07,0.0195778,5.59535,314.039,1.025e+06
5.7344e+07,4,16,15851136,1022873,1045394825600,11344,15071064064,10822,14450135040,0,0,0.911512,5.22697e+07,0.0195691,5.60336,314.425,1.02538e+06
6.5536e+07,0,3,2392576,1169869,1195781840384,12789,17053794304,12977,17290649600,0,0,0.912309,5.97891e+07,0.0195666,5.64911,316.982,1.02552e+06
6.5536e+07,1,12,10232704,1170757,1196640005248,12714,16888102912,13650,18149302272,0,0,0.912964,5.9832e+07,0.0195674,5.63972,316.563,1.0254e+06
6.5536e+07,2,2,1419936,1171425,1197643912544,13001,17343553536,12974,17256042496,0,0,0.91373,5.98822e+07,0.0195622,5.71323,320.015,1.0258e+06
6.5536e+07,3,6,5460768,1169802,1194992950496,13038,17382219776,12361,16459644928,0,0,0.911707,5.97496e+07,0.0195784,5.6214,315.265,1.02497e+06
6.5536e+07,4,5,4951840,1168871,1194458050784,12910,17149681664,12490,16661712896,0,0,0.911299,5.97229e+07,0.0195716,5.57049,312.718,1.02524e+06
7.3728e+07,0,1,607776,1316657,1345854036448,14458,19288616960,14435,19233341440,0,0,0.912716,6.72927e+07,0.0195661,5.67462,318.157,1.02556e+06
7.3728e+07,1,7,6825536,1316710,1345709459904,14273,18972344320,15349,20405694464,0,0,0.912618,6.72855e+07,0.019569,5.63526,316.378,1.02532e+06
7.3728e+07,2,1,755680,1318041,1347470956576,14640,19541884928,14539,19346063360,0,0,0.913812,6.73735e+07,0.0195632,5.70797,319.682,1.02576e+06
7.3728e+07,3,0,0,1315781,1344433381376,14569,19415920640,14096,18791149568,0,0,0.911752,6.72217e+07,0.0195738,5.59721,314.066,1.02518e+06
7.3728e+07,4,4,4055904,1314761,1343691504800,14506,19277410304,14027,18719928320,0,0,0.911249,6.71846e+07,0.0195694,5.56287,312.389,1.02535e+06
8.192e+07,0,0,0,1462976,1495207096320,16107,21493800960,15932,21217841152,0,0,0.912602,7.47604e+07,0.0195689,5.67582,318.192,1.02543e+06
8.192e+07,1,23,26945440,1462934,1495121270880,15883,21119832064,17042,22663172096,0,0,0.91255,7.47561e+07,0.0195694,5.64438,316.881,1.02531e+06
8.192e+07,2,2,1487808,1464368,1496964254784,16231,21661601792,16231,21602918400,0,0,0.913674,7.48482e+07,0.0195645,5.69572,319.073,1.02568e+06
8.192e+07,3,15,15609856,1461777,1493884289024,16197,21583425536,15714,20951539712,0,0,0.911795,7.46942e+07,0.0195702,5.59816,314.2,1.02537e+06
8.192e+07,4,5,4318432,1460854,1493148703520,16126,21432369152,15625,20855558144,0,0,0.911346,7.46574e+07,0.0195674,5.59266,314.005,1.02546e+06
